001A,9999.00
002A,9999.00
003A,9999.00
004A,9999.00
005A,9999.00
006A,9999.00
007A,9999.00
008A,9999.00
009A,9999.00
010A,9999.00
001B,9999.00
002B,9999.00
003B,9999.00
004B,9999.00
005B,9999.00
006B,21.71
007B,9999.00
008B,9999.00
009B,9999.00
010B,9999.00
001C,9999.00
002C,9999.00
003C,9999.00
004C,9999.00
005C,9999.00
006C,24.04
007C,9999.00
008C,9999.00
009C,9999.00
010C,9999.00
001D,9999.00
002D,13.53
003D,14.82
004D,6.09
005D,27.68
006D,9999.00
007D,9999.00
008D,14.27
009D,10.55
010D,3.87
001E,10.25
002E,16.40
003E,9999.00
004E,9999.00
005E,9999.00
006E,9999.00
007E,13.50
008E,17.30
009E,9999.00
010E,9999.00
001F,8.08
002F,13.53
003F,9999.00
004F,9999.00
005F,9999.00
006F,9999.00
007F,10.64
008F,14.27
009F,9999.00
010F,9999.00
001G,9999.00
002G,9999.00
003G,9999.00
004G,9999.00
005G,9999.00
006G,9999.00
007G,9999.00
008G,9999.00
009G,9999.00
010G,9999.00
001H,9999.00
002H,9999.00
003H,9999.00
004H,9999.00
005H,9999.00
006H,9999.00
007H,9999.00
008H,9999.00
009H,9999.00
010H,9999.00
001I,9999.00
002I,9999.00
003I,9999.00
004I,9999.00
005I,27.68
006I,9999.00
007I,9999.00
008I,9999.00
009I,9999.00
010I,9999.00
001J,9999.00
002J,9999.00
003J,9999.00
004J,9999.00
005J,26.79
006J,9999.00
007J,9999.00
008J,9999.00
009J,9999.00
010J,9999.00
001K,9999.00
002K,9999.00
003K,9999.00
004K,9999.00
005K,9999.00
006K,20.40
007K,9999.00
008K,9999.00
009K,9999.00
010K,9999.00
001L,9999.00
002L,9999.00
003L,9999.00
004L,9999.00
005L,9999.00
006L,19.80
007L,9999.00
008L,9999.00
009L,9999.00
010L,9999.00
188L,9999.00
001M,9999.00
002M,9999.00
003M,9999.00
004M,9999.00
005M,9999.00
006M,9999.00
007M,9999.00
008M,9999.00
009M,9999.00
010M,9999.00
001N,9999.00
002N,12.03
003N,9999.00
004N,5.46
005N,27.68
006N,9999.00
007N,9999.00
008N,12.68
009N,9999.00
010N,3.47
001O,9999.00
002O,9999.00
003O,9999.00
004O,9999.00
005O,9999.00
006O,9999.00
007O,9999.00
008O,9999.00
009O,9999.00
010O,9999.00
001P,6.06
002P,11.77
003P,14.29
004P,8.45
005P,33.22
006P,9999.00
007P,7.98
008P,12.41
009P,10.17
010P,5.37
001Q,9999.00
002Q,9999.00
003Q,9999.00
004Q,9999.00
005Q,9999.00
006Q,9999.00
007Q,9999.00
008Q,9999.00
009Q,9999.00
010Q,9999.00
001R,9999.00
002R,9999.00
003R,9999.00
004R,9999.00
005R,9999.00
006R,14.02
007R,9999.00
008R,9999.00
009R,9999.00
010R,9999.00
001S,9999.00
002S,9999.00
003S,9999.00
004S,9999.00
005S,9999.00
006S,9999.00
007S,9999.00
008S,9999.00
009S,9999.00
010S,9999.00
